2026-03-13 16:39:10 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-13 16:39:10 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 21.0.9 with PID 19984 (E:\JAVA\ruoyi-wms-master\ruoyi-admin-wms\target\classes started by admin in E:\JAVA\ruoyi-wms-master\ruoyi-admin-wms)
2026-03-13 16:39:10 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2026-03-13 16:39:11 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi]' package. Please check your configuration.
2026-03-13 16:39:12 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAopConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [healthEndpointGroupsBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2026-03-13 16:39:12 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-03-13 16:39:12 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-03-13 16:39:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-03-13 16:39:13 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@67683210
2026-03-13 16:39:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-03-13 16:39:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2026-03-13 16:39:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-03-13 16:39:13 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-03-13 16:39:14 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2026-03-13 16:39:14 [main] INFO  org.redisson.Version - Redisson 3.29.0
2026-03-13 16:39:14 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2026-03-13 16:39:14 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2026-03-13 16:39:15 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-03-13 16:39:17 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2026-03-13 16:39:17 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2026-03-13 16:39:17 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2026-03-13 16:39:17 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2026-03-13 16:39:17 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 7.11 seconds (process running for 7.542)
2026-03-13 16:39:17 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-03-13 16:39:17 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2026-03-13 16:39:17 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2026-03-13 16:43:05 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-13 16:43:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2026-03-13 16:43:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/warehouse/listNoPage],无参数
2026-03-13 16:43:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/merchant/listNoPage],无参数
2026-03-13 16:43:05 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/listNoPage],无参数
2026-03-13 16:43:06 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/warehouse/listNoPage],耗时:[311]毫秒
2026-03-13 16:43:06 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/listNoPage],耗时:[310]毫秒
2026-03-13 16:43:06 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/merchant/listNoPage],耗时:[310]毫秒
2026-03-13 16:43:06 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/treeselect],无参数
2026-03-13 16:43:06 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/treeselect],耗时:[11]毫秒
2026-03-13 16:43:06 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemBrand/listNoPage],无参数
2026-03-13 16:43:06 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemBrand/listNoPage],耗时:[19]毫秒
2026-03-13 16:43:07 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getInfo],耗时:[1253]毫秒
2026-03-13 16:43:07 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getRouters],无参数
2026-03-13 16:43:07 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getRouters],耗时:[16]毫秒
2026-03-13 16:44:17 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/inventory/boardList/warehouse],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
