2025-05-28 11:54:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-28 11:54:54 [main] INFO  com.ruoyi.test.TagUnitTest - Starting TagUnitTest using Java 17.0.2 with PID 9468 (started by admin in E:\JAVA\wms-ruoyi-master\ruoyi-admin-wms)
2025-05-28 11:54:54 [main] INFO  com.ruoyi.test.TagUnitTest - The following 1 profile is active: "dev"
2025-05-28 11:55:10 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-05-28 11:55:10 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-05-28 11:55:11 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@6ac0fd1d
2025-05-28 11:55:11 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-05-28 11:55:11 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-05-28 11:55:11 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-05-28 11:55:11 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-05-28 11:55:28 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-05-28 11:55:29 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-05-28 11:55:30 [redisson-netty-1-6] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2025-05-28 11:55:30 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2025-05-28 11:55:32 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-05-28 11:55:34 [main] INFO  com.ruoyi.test.TagUnitTest - Started TagUnitTest in 44.584 seconds (process running for 53.008)
2025-05-28 11:55:34 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-05-28 11:55:34 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-05-28 11:55:34 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  c.r.c.core.config.ThreadPoolConfig - ====关闭后台任务任务线程池====
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [slave] success,
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2025-05-28 11:55:35 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
