2025-06-05 10:26:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-05 10:26:14 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.2 with PID 13792 (E:\JAVA\wms-ruoyi-master\ruoyi-admin-wms\target\classes started by admin in E:\JAVA\wms-ruoyi-master)
2025-06-05 10:26:14 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-06-05 10:26:17 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-06-05 10:26:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-06-05 10:26:18 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-06-05 10:26:18 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@7ea039b4
2025-06-05 10:26:18 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-06-05 10:26:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-06-05 10:26:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-06-05 10:26:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-06-05 10:26:19 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-06-05 10:26:19 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-06-05 10:26:20 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2025-06-05 10:26:20 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2025-06-05 10:26:21 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-06-05 10:26:22 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-06-05 10:26:22 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-06-05 10:26:22 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-06-05 10:26:22 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-06-05 10:26:22 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 8.735 seconds (process running for 9.637)
2025-06-05 10:26:23 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-06-05 10:26:23 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-06-05 10:26:23 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-06-05 10:28:55 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-05 10:28:55 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-06-05 10:28:55 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[405]毫秒
2025-06-05 10:28:58 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-06-05 10:28:58 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[7]毫秒
2025-06-05 10:29:01 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /login],参数类型[json],参数:[{"username":"admin","password":"000000","code":"0","uuid":"8198a581600349189fbad2294921315e"}]
2025-06-05 10:29:01 [schedule-pool-1] INFO  c.r.s.service.SysLogininforService - [127.0.0.1]内网IP[admin][Success][登录成功]
2025-06-05 10:29:01 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /login],耗时:[516]毫秒
2025-06-05 10:29:01 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2025-06-05 10:29:01 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/warehouse/listNoPage],无参数
2025-06-05 10:29:01 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/merchant/listNoPage],无参数
2025-06-05 10:29:01 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/listNoPage],无参数
2025-06-05 10:29:01 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/merchant/listNoPage],耗时:[25]毫秒
